"RSTK__SYACC_DIV__C","RSTK__SYACC_MFGACCT__C","RSTK__SYACC_DESCR__C","RSTK__SYACC_GLTYPE_PL__C","RSTK__SYACC_SYQBCOA__C","RSTK__SYACC_GLXREFACCT__C"
"a8C8Y000000CurdUAC","1425","Inventory - Finished Goods","Inventory","","aAO8Y000000OIbsWAG"
"a8C8Y000000CurdUAC","2005","Accrued Accounts Payable","Accrued AP","","aAO8Y000000OIbwWAG"
"a8C8Y000000CurdUAC","2135","Sales Tax Payable","Liability Accounts","","aAO8Y000000OIc1WAG"
"a8C8Y000000CurdUAC","4000","Product Revenue","Revenue","","aAO8Y000000OIbpWAG"
"a8C8Y000000CurdUAC","4200","Service Revenue","Revenue","","aAO8Y000000OIfcWAG"
"a8C8Y000000CurdUAC","5000","Product COGS","Cost of Sales","","aAO8Y000000OIc7WAG"
"a8C8Y000000CurdUAC","5100-1","Inventory, Scrap","General Scrap","","aAO8Y000000OIfdWAG"
"a8C8Y000000CurdUAC","5105","Inventory Adjustment","Inventory Adjustment","","aAO8Y000000OIfgWAG"
"a8C8Y000000CurdUAC","5110","Purchase Price Variance (PPV)","PPV","","aAO8Y000000OIfhWAG"
"a8C8Y000000CurdUAC","5125","Negative Variance Acct","Inventory Negative Variance","","aAO8Y000000OIfkWAG"
"a8C8Y000000CurdUAC","5130","PO-Invoice Price Variance","Variance","","aAO8Y000000OIf6WAG"
"a8C8Y000000CurdUAC","5135","Invoice - Receipt Quantity Variance","Variance","","aAO8Y000000OIfeWAG"
"a8C8Y000000CurdUAC","5140","Standards Variance","Standards Change Variance","","aAO8Y000000OIflWAG"
"a8C8Y000000CurdUAC","5145","Div to Div  Move Stds Variance","Division to Division Variance","","aAO8Y000000OIfmWAG"
"a8C8Y000000CurdUAC","5150","Work Order/Subcontract Variance","WO/Subc PO Variance","","aAO8Y000000OIcTWAW"
"a8C8Y000000CurdUAC","2200-1","Customer Deposits - Invoice","Unearned Revenue","","aAO8Y000000OIfUWAW"
"a8C8Y000000CurdUAC","2200-2","Customer Deposits - Credit Card","Unearned Revenue","","aAO8Y000000OIfUWAW"
"a8C8Y000000CurdUAC","4100","Freight Income","Revenue","","aAO8Y000000OIbxWAG"
"a8C8Y000000CurdUAC","4110","Handling Income","Revenue","","aAO8Y000000OIc6WAG"
"a8C8Y000000CurdUAC","4105","Packaging Income","Revenue","","aAO8Y000000OIc5WAG"
"a8C8Y000000CurdUAC","4390","Sales Discount","Revenue","","aAO8Y000000OIcZWAW"
"a8C8Y000000CurdUAC","5120","Material OHD Variance","Variance","","aAO8Y000000OIfiWAG"
"a8C8Y000000CureUAC","1200","Accounts Receivable","Other","","aAO8Y000000OIbnWAG"
"a8C8Y000000CureUAC","1400","Inventory, Raw Material","Inventory","","aAO8Y000000OIbqWAG"
"a8C8Y000000CureUAC","1405","Non-nettable Inventory","Non Nettable","","aAO8Y000000OIbrWAG"
"a8C8Y000000CureUAC","7102","Div to Div Clearing","Division Transfer","","aAO8Y000000OIcbWAG"
"a8C8Y000000CureUAC","5120","Material OHD Variance","Variance","","aAO8Y000000OIfiWAG"
"a8C8Y000000CureUAC","1415","Work Order WIP","WIP","","aAO8Y000000OIf8WAG"
"a8C8Y000000CureUAC","1420","Subcontract PO  WIP","POSUBWIP","","aAO8Y000000OIf9WAG"
"a8C8Y000000CureUAC","5170","Labor Clearing","WIP Clearing (Labor, Mach, Fringe)","","aAO8Y000000OIfoWAG"
"a8C8Y000000CureUAC","5175","Labor OHD Clearing","WIP Clearing (Labor, Mach, Fringe)","","aAO8Y000000OIf2WAG"
"a8C8Y000000CureUAC","5180","Machine OHD Clearing","WIP Clearing (Labor, Mach, Fringe)","","aAO8Y000000OIfpWAG"
"a8C8Y000000CureUAC","7350","Shipping Clearing","Cost of Sales Clearing","","aAO8Y000000OIcHWAW"
"a8C8Y000000CurdUAC","5190","General MFG Expense","Expense","","aAO8Y000000OIcXWAW"
"a8C8Y000000CurdUAC","5100-2","Work Order Scrap","General Scrap","","aAO8Y000000OIfdWAG"
"a8C8Y000000CurdUAC","5900","RMA Product Return","Cost of Sales","","aAO8Y000000OIfvWAG"
"a8C8Y000000CureUAC","5185","Fringe OHD Clearing","WIP Clearing (Labor, Mach, Fringe)","","aAO8Y000000OIfqWAG"
"a8C8Y000000CureUAC","1425","Inventory - Finished Goods","Inventory","","aAO8Y000000OIbsWAG"
"a8C8Y000000CureUAC","2005","Accrued Accounts Payable","Accrued AP","","aAO8Y000000OIbwWAG"
"a8C8Y000000CureUAC","2135","Sales Tax Payable","Liability Accounts","","aAO8Y000000OIc1WAG"
"a8C8Y000000CureUAC","4000","Product Revenue","Revenue","","aAO8Y000000OIbpWAG"
"a8C8Y000000CureUAC","4200","Service Revenue","Revenue","","aAO8Y000000OIfcWAG"
"a8C8Y000000CureUAC","5000","Product COGS","Cost of Sales","","aAO8Y000000OIc7WAG"
"a8C8Y000000CureUAC","5100-1","Inventory, Scrap","General Scrap","","aAO8Y000000OIfdWAG"
"a8C8Y000000CureUAC","5105","Inventory Adjustment","Inventory Adjustment","","aAO8Y000000OIfgWAG"
"a8C8Y000000CureUAC","5110","Purchase Price Variance (PPV)","PPV","","aAO8Y000000OIfhWAG"
"a8C8Y000000CureUAC","5165","Material Overhead Clearing","OTH Clearing","","aAO8Y000000OIfnWAG"
"a8C8Y000000CureUAC","5125","Negative Variance Acct","Inventory Negative Variance","","aAO8Y000000OIfkWAG"
"a8C8Y000000CureUAC","5130","PO-Invoice Price Variance","Variance","","aAO8Y000000OIf6WAG"
"a8C8Y000000CureUAC","5135","Invoice - Receipt Quantity Variance","Variance","","aAO8Y000000OIfeWAG"
"a8C8Y000000CureUAC","5140","Standards Variance","Standards Change Variance","","aAO8Y000000OIflWAG"
"a8C8Y000000CureUAC","5145","Div to Div  Move Stds Variance","Division to Division Variance","","aAO8Y000000OIfmWAG"
"a8C8Y000000CureUAC","5190","General MFG Expense","Expense","","aAO8Y000000OIcXWAW"
"a8C8Y000000CureUAC","5150","Work Order/Subcontract Variance","WO/Subc PO Variance","","aAO8Y000000OIcTWAW"
"a8C8Y000000CureUAC","2200-2","Customer Deposits - Credit Card","Unearned Revenue","","aAO8Y000000OIfUWAW"
"a8C8Y000000CureUAC","5100-2","Work Order Scrap","General Scrap","","aAO8Y000000OIfdWAG"
"a8C8Y000000CureUAC","5900","RMA Product Return","Cost of Sales","","aAO8Y000000OIfvWAG"
"a8C8Y000000CureUAC","2200-1","Customer Deposits - Invoice","Unearned Revenue","","aAO8Y000000OIfUWAW"
"a8C8Y000000CureUAC","4100","Freight Income","Revenue","","aAO8Y000000OIbxWAG"
"a8C8Y000000CureUAC","4110","Handling Income","Revenue","","aAO8Y000000OIc6WAG"
"a8C8Y000000CureUAC","4105","Packaging Income","Revenue","","aAO8Y000000OIc5WAG"
"a8C8Y000000CureUAC","4390","Sales Discount","Revenue","","aAO8Y000000OIcZWAW"
"a8C8Y000000CurfUAC","1200","Accounts Receivable","Other","","aAO8Y000000OIgDWAW"
"a8C8Y000000CurfUAC","1400","Inventory, Raw Material","Inventory","","aAO8Y000000OIgKWAW"
"a8C8Y000000CurfUAC","1405","Non-nettable Inventory","Non Nettable","","aAO8Y000000OIgMWAW"
"a8C8Y000000CurfUAC","7102","Div to Div Clearing","Division Transfer","","aAO8Y000000OIgNWAW"
"a8C8Y000000CurfUAC","5120","Material OHD Variance","Variance","","aAO8Y000000OIgIWAW"
"a8C8Y000000CurfUAC","1415","Work Order WIP","WIP","","aAO8Y000000OIgOWAW"
